Timestep,Distance
1,380.0
2,380.0
3,380.0
4,380.0
5,380.0
6,380.0
7,380.0
8,380.0
9,380.0
10,380.0
11,380.0
12,380.0
13,380.0
14,380.0
15,380.0
16,380.0
17,380.0
18,380.0
19,380.0
20,380.0
21,380.0
22,380.0
23,380.0
24,380.0
25,380.0
26,380.0
27,380.0
28,380.0
29,380.0
30,380.0
31,380.0
32,380.0
33,380.0
34,380.0
35,380.0
36,380.0
37,380.0
38,380.0
39,380.0
40,380.0
41,380.0
42,380.0
43,380.0
44,380.0
45,380.0
46,380.0
47,380.0
48,380.0
49,380.0
50,380.0
51,380.0
52,380.0
53,380.0
54,380.0
55,380.0
56,380.0
57,380.0
58,380.0
59,380.0
60,380.0
61,380.0
62,380.0
63,380.0
64,380.0
65,380.0
66,380.0
67,380.0
68,380.0
69,380.0
70,380.0
71,380.0
72,380.0
73,380.0
74,380.0
75,380.0
76,380.0
77,380.0
78,380.0
79,380.0
80,380.0
81,380.0
82,380.0
83,380.0
84,380.0
85,380.0
86,380.0
87,381.0
88,382.0
89,383.99999999999994
90,386.99999999999994
91,390.0
92,395.0
93,400.00000000000006
94,406.0
95,413.00000000000006
96,421.99999999999994
97,430.99999999999994
98,442.0
99,455.00000000000006
100,469.00000000000006
101,485.0
102,502.99999999999994
103,523.0
104,546.0
105,523.0
106,503.0
107,485.0
108,469.00000000000006
109,455.00000000000006
110,442.0
111,431.00000000000006
112,422.0
113,413.0
114,406.0
115,400.0
116,394.99999999999994
117,389.99999999999994
118,386.99999999999994
119,384.00000000000006
120,382.0
121,381.0
122,380.0
123,381.0
124,382.0
125,383.99999999999994
126,386.99999999999994
127,390.0
128,395.0
129,400.0
130,406.0
131,413.0
132,422.00000000000006
133,431.0
134,442.00000000000006
135,455.0
136,469.0
137,484.99999999999994
138,502.99999999999994
139,523.0
140,376.00000000000006
141,523.0
142,503.0
143,485.0
144,469.00000000000006
145,454.99999999999994
146,442.00000000000006
147,430.99999999999994
148,422.0
149,413.00000000000006
150,406.0
151,400.0
152,395.00000000000006
153,390.0
154,386.99999999999994
155,384.00000000000006
156,382.0
157,381.0
158,380.0
159,381.0
160,382.0
161,383.99999999999994
162,386.99999999999994
163,390.0
164,395.0
165,399.99999999999994
166,406.0
167,413.0
168,422.0
169,431.0
170,442.00000000000006
171,455.00000000000006
172,469.00000000000006
173,485.0
174,503.0
175,503.0
176,503.0
177,503.0
178,503.0
179,503.0
180,503.0
181,503.0
182,503.0
183,503.0
184,503.0
185,503.0
186,503.0
187,503.0
188,503.0
189,503.0
190,503.0
191,503.0
192,503.0
193,503.0
194,503.0
195,503.0
196,503.0
197,503.0
198,503.0
199,503.0
200,503.0
201,503.0
202,503.0
203,503.0
204,503.0
205,503.0
206,503.0
207,503.0
208,503.0
209,503.0
210,503.0
211,503.0
212,503.0
213,503.0
214,503.0
215,503.0
216,503.0
217,503.0
218,503.0
219,503.0
220,503.0
221,503.0
222,503.0
223,503.0
224,503.0
225,503.0
226,503.0
227,503.0
228,503.0
229,503.0
230,503.0
231,503.0
232,503.0
233,503.0
234,503.0
235,503.0
236,503.0
237,503.0
238,503.0
239,503.0
240,503.0
241,503.0
242,503.0
243,503.0
244,503.0
245,503.0
246,503.0
247,503.0
248,503.0
249,503.0
250,503.0
251,503.0
252,503.0
253,503.0
254,503.0
255,503.0
256,503.0
257,503.0
258,503.0
259,503.0
260,503.0
261,503.0
262,503.0
263,503.0
264,503.0
265,503.0
266,503.0
267,314.0
