Timestep,Distance
1,380.0
2,381.0
3,382.0
4,383.99999999999994
5,386.99999999999994
6,390.0
7,395.0
8,400.00000000000006
9,406.0
10,413.00000000000006
11,421.99999999999994
12,430.99999999999994
13,442.0
14,455.00000000000006
15,469.00000000000006
16,485.0
17,502.99999999999994
18,523.0
19,546.0
20,523.0
21,503.0
22,485.0
23,469.00000000000006
24,455.00000000000006
25,442.0
26,431.00000000000006
27,422.0
28,413.0
29,406.0
30,400.0
31,394.99999999999994
32,389.99999999999994
33,386.99999999999994
34,384.00000000000006
35,382.0
36,381.0
37,380.0
38,381.0
39,382.0
40,383.99999999999994
41,386.99999999999994
42,390.0
43,395.0
44,400.0
45,406.0
46,413.0
47,422.00000000000006
48,431.0
49,442.00000000000006
50,455.0
51,469.0
52,484.99999999999994
53,502.99999999999994
54,523.0
55,546.0000000000001
56,523.0
57,503.0
58,485.0
59,469.00000000000006
60,454.99999999999994
61,442.00000000000006
62,430.99999999999994
63,422.0
64,413.00000000000006
65,406.0
66,400.0
67,395.00000000000006
68,390.0
69,386.99999999999994
70,384.00000000000006
71,382.0
72,381.0
73,380.0
74,381.0
75,382.0
76,383.99999999999994
77,386.99999999999994
78,390.0
79,395.0
80,399.99999999999994
81,406.0
82,413.0
83,422.0
84,431.0
85,442.00000000000006
86,455.00000000000006
87,469.00000000000006
88,485.0
89,503.0
90,523.0
91,546.0
92,523.0
93,503.0
94,485.0
95,469.00000000000006
96,455.0
97,442.00000000000006
98,431.0
99,422.0
100,413.0
101,406.0
102,400.00000000000006
103,395.00000000000006
104,390.0
105,386.99999999999994
106,383.99999999999994
107,382.0
108,381.0
109,380.0
110,381.0
111,382.0
112,383.99999999999994
113,386.99999999999994
114,390.0
115,395.0
116,400.00000000000006
117,406.00000000000006
118,413.0
119,422.0
120,431.0
121,442.0
122,454.99999999999994
123,469.00000000000006
124,485.0
125,503.0
126,523.0
127,546.0
128,523.0
129,503.0
130,485.0
131,469.00000000000006
132,454.99999999999994
133,442.0000000000001
134,431.0
135,422.0
136,413.0
137,406.00000000000006
138,400.00000000000006
139,395.0
140,390.0
141,386.99999999999994
142,383.99999999999994
143,382.0
144,381.0
145,380.0
146,381.0
147,382.0
148,383.99999999999994
149,386.99999999999994
150,390.0
151,395.0
152,400.00000000000006
153,406.0
154,413.00000000000006
155,421.99999999999994
156,430.99999999999994
157,442.0
158,455.00000000000006
159,469.00000000000006
160,485.0
161,502.99999999999994
162,523.0
163,546.0
164,523.0
165,503.0
166,485.0
167,469.00000000000006
168,455.00000000000006
169,442.0
170,431.00000000000006
171,422.0
172,413.0
173,406.0
174,400.0
175,394.99999999999994
176,389.99999999999994
177,386.99999999999994
178,384.00000000000006
179,382.0
180,381.0
181,380.0
182,381.0
183,382.0
184,383.99999999999994
185,386.99999999999994
186,390.0
187,395.0
